ts,session,structure,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-08T18:30:00+00:00,CRYPTO,BULLISH,NO_TRADE,INVALID_PLAN,92.29,92.56,92.26,92.48,0,0,0,0,106.0
2026-05-08T18:35:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.49,92.56,92.31,92.54,0,0,0,0,106.0
2026-05-08T18:40:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_ZONE,92.53,92.55,92.26,92.31,0,0,0,0,106.0
2026-05-08T18:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.31,92.46,92.29,92.34,0,0,0,0,106.0
2026-05-08T18:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.35,92.55,92.32,92.46,0,0,0,0,106.0
2026-05-08T18:55:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.46,92.47,92.29,92.32,0,0,0,0,106.0
2026-05-08T19:00:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.32,92.32,92.04,92.07,0,0,0,0,106.0
2026-05-08T19:05:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.07,92.47,92.07,92.4,0,0,0,0,106.0
2026-05-08T19:10:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,92.41,92.45,92.35,92.4,0,0,0,0,106.0
2026-05-08T19:15:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,92.41,92.75,92.41,92.69,0,0,0,0,106.0
2026-05-08T19:20:00+00:00,CRYPTO,BEARISH,NO_TRADE,NO_BREAKOUT,92.69,92.77,92.5,92.5,0,0,0,0,106.0
2026-05-08T19:25:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.5,92.76,92.5,92.75,0,0,0,0,106.0
2026-05-08T19:30:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.75,92.8,92.58,92.6,0,0,0,0,106.0
2026-05-08T19:35:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.6,92.66,92.44,92.45,0,0,0,0,106.0
2026-05-08T19:40:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.45,92.57,92.42,92.48,0,0,0,0,106.0
2026-05-08T19:45:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.48,92.6,92.45,92.53,0,0,0,0,106.0
2026-05-08T19:50:00+00:00,CRYPTO,BULLISH,NO_TRADE,NO_BREAKOUT,92.54,92.62,92.52,92.56,0,0,0,0,106.0
2026-05-08T19:55:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.56,92.61,92.42,92.6,0,0,0,0,106.0
2026-05-08T20:00:00+00:00,CRYPTO,RANGE,NO_TRADE,RANGE_STRUCTURE,92.61,92.67,92.33,92.38,0,0,0,0,106.0
