ts,structure,adx,action,reason,open,high,low,close,entry,sl,tp,rr,balance
2026-05-09T07:35:00+00:00,BULLISH,10.2,NO_TRADE,ADX_TOO_LOW(10.2),93.94,93.98,93.79,93.84,0,0,0,0,102.64
2026-05-09T07:40:00+00:00,BULLISH,11.3,NO_TRADE,ADX_TOO_LOW(11.3),93.85,94.0,93.63,93.72,0,0,0,0,102.64
2026-05-09T07:45:00+00:00,BULLISH,11.0,NO_TRADE,ADX_TOO_LOW(11.0),93.73,93.78,93.66,93.74,0,0,0,0,102.64
2026-05-09T07:50:00+00:00,BULLISH,10.9,NO_TRADE,ADX_TOO_LOW(10.9),93.74,93.82,93.69,93.69,0,0,0,0,102.64
2026-05-09T07:55:00+00:00,BULLISH,10.9,NO_TRADE,ADX_TOO_LOW(10.9),93.7,93.82,93.68,93.76,0,0,0,0,102.64
2026-05-09T08:00:00+00:00,BULLISH,11.2,NO_TRADE,ADX_TOO_LOW(11.2),93.76,93.86,93.7,93.74,0,0,0,0,102.64
2026-05-09T08:05:00+00:00,BULLISH,11.8,NO_TRADE,ADX_TOO_LOW(11.8),93.75,93.75,93.67,93.67,0,0,0,0,102.64
2026-05-09T08:10:00+00:00,BULLISH,12.1,NO_TRADE,ADX_TOO_LOW(12.1),93.68,93.85,93.66,93.84,0,0,0,0,102.64
2026-05-09T08:15:00+00:00,BULLISH,13.2,NO_TRADE,ADX_TOO_LOW(13.2),93.85,93.87,93.76,93.8,0,0,0,0,102.64
2026-05-09T08:20:00+00:00,BULLISH,13.9,NO_TRADE,ADX_TOO_LOW(13.9),93.8,93.82,93.76,93.8,0,0,0,0,102.64
2026-05-09T08:25:00+00:00,BULLISH,14.6,NO_TRADE,ADX_TOO_LOW(14.6),93.81,93.92,93.79,93.87,0,0,0,0,102.64
2026-05-09T08:30:00+00:00,RANGE,16.3,NO_TRADE,RANGE_STRUCTURE,93.87,93.95,93.78,93.8,0,0,0,0,102.64
